Title,Video URL,Channel,Channel URL,Timestamp,Year,Month,Weekdays,TimeOfDay,Hour
Logistic Regression Details Pt 3: R-squared and p-value,https://www.youtube.com/watch?v=xxFYro8QuXA,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 11:42:24+04:00,2023,5,0,Working Hours,11
Logistic Regression Details Pt 2: Maximum Likelihood,https://www.youtube.com/watch?v=BfKanl1aSG0,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 11:36:22+04:00,2023,5,0,Working Hours,11
Saturated Models and Deviance,https://www.youtube.com/watch?v=9T0wlKdew6I,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 11:25:18+04:00,2023,5,0,Working Hours,11
"Using Linear Models for t-tests and ANOVA, Clearly Explained!!!",https://www.youtube.com/watch?v=NF5_btOaCig,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 11:25:11+04:00,2023,5,0,Working Hours,11
"Multiple Regression, Clearly Explained!!!",https://www.youtube.com/watch?v=zITIFTsivN8,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 11:21:50+04:00,2023,5,0,Working Hours,11
"Mutual Information, Clearly Explained!!!",https://www.youtube.com/watch?v=eJIp_mgVLwE,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 11:11:05+04:00,2023,5,0,Working Hours,11
Entropy (for data science) Clearly Explained!!!,https://www.youtube.com/watch?v=YtebGVx-Fxw,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 10:44:04+04:00,2023,5,0,Working Hours,10
"Maximum Likelihood, clearly explained!!!",https://www.youtube.com/watch?v=XepXtl9YKwc,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 10:42:03+04:00,2023,5,0,Working Hours,10
"Odds Ratios and Log(Odds Ratios), Clearly Explained!!!",https://www.youtube.com/watch?v=8nm0G-1uJzA,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 10:28:32+04:00,2023,5,0,Working Hours,10
"The Sensitivity, Specificity, Precision, Recall Sing-a-Long!!! #Shorts",https://www.youtube.com/watch?v=PWvfrTgaPBI,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-11 10:28:21+04:00,2023,5,0,Working Hours,10
"15min. Power Yoga ""Get Up and Flow"" with Travis",https://www.youtube.com/watch?v=Mn5KC16q31w,Travis Eliot,https://www.youtube.com/channel/UCHTisXO8TeozyYOxEZGC8XQ,2023-05-11 06:18:06+04:00,2023,5,0,Early Morning,6
The ONLY Data Analytics Portfolio Project You Need - Walkthrough,https://www.youtube.com/watch?v=g6cjhUhrhY8,Lore So What,https://www.youtube.com/channel/UCtoNXlIegvxkvf5Ji8S57Ag,2023-05-11 06:17:42+04:00,2023,5,0,Early Morning,6
ROC and AUC in R,https://www.youtube.com/watch?v=qcvAqAH60Yw,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 21:21:43+04:00,2023,5,0,After Work Hours,21
"ROC and AUC, Clearly Explained!",https://www.youtube.com/watch?v=4jRBRDbJemM,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 21:11:02+04:00,2023,5,0,After Work Hours,21
Regularization Part 1: Ridge (L2) Regression,https://www.youtube.com/watch?v=Q81RR3yKn30,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 21:10:50+04:00,2023,5,0,After Work Hours,21
Machine Learning Fundamentals: Bias and Variance,https://www.youtube.com/watch?v=EuBBz3bI-aA,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 21:07:21+04:00,2023,5,0,After Work Hours,21
"The Sensitivity, Specificity, Precision, Recall Sing-a-Long!!! #Shorts",https://www.youtube.com/watch?v=PWvfrTgaPBI,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 21:03:34+04:00,2023,5,0,After Work Hours,21
Machine Learning Fundamentals: Sensitivity and Specificity,https://www.youtube.com/watch?v=vP06aMoz4v8,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 20:41:20+04:00,2023,5,0,After Work Hours,20
Machine Learning Fundamentals: The Confusion Matrix,https://www.youtube.com/watch?v=Kdsp6soqA7o,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 20:36:42+04:00,2023,5,0,After Work Hours,20
Machine Learning Fundamentals: Cross Validation,https://www.youtube.com/watch?v=fSytzGwwBVw,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 20:33:00+04:00,2023,5,0,After Work Hours,20
A Gentle Introduction to Machine Learning,https://www.youtube.com/watch?v=Gv9_4yMHFhI,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 20:29:28+04:00,2023,5,0,After Work Hours,20
"Multiple Regression in R, Step-by-Step!!!",https://www.youtube.com/watch?v=hokALdIst8k,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 20:24:56+04:00,2023,5,0,After Work Hours,20
"Design Matrix Examples in R, Clearly Explained!!!",https://www.youtube.com/watch?v=Hrr2anyK_5s,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 20:18:45+04:00,2023,5,0,After Work Hours,20
"Design Matrices For Linear Models, Clearly Explained!!!",https://www.youtube.com/watch?v=CqLGvwi-5Pc,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 20:07:43+04:00,2023,5,0,After Work Hours,20
"Using Linear Models for t-tests and ANOVA, Clearly Explained!!!",https://www.youtube.com/watch?v=NF5_btOaCig,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 19:59:11+04:00,2023,5,0,After Work Hours,19
"Linear Regression, Clearly Explained!!!",https://www.youtube.com/watch?v=nk2CQITm_eo,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 19:48:05+04:00,2023,5,0,After Work Hours,19
"Odds Ratios and Log(Odds Ratios), Clearly Explained!!!",https://www.youtube.com/watch?v=8nm0G-1uJzA,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 19:47:05+04:00,2023,5,0,After Work Hours,19
Logistic Regression Details Pt1: Coefficients,https://www.youtube.com/watch?v=vN5cNN2-HWE,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 19:34:37+04:00,2023,5,0,After Work Hours,19
Logistic Regression Details Pt 3: R-squared and p-value,https://www.youtube.com/watch?v=xxFYro8QuXA,StatQuest with Josh Starmer,https://www.youtube.com/channel/UCtYLUTtgS3k1Fg4y5tAhLbw,2023-05-10 19:25:28+04:00,2023,5,0,After Work Hours,19
Machine Learning Foundations Course – Regression Analysis,https://www.youtube.com/watch?v=2IZKK3pJQjg,freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,2023-05-10 19:15:02+04:00,2023,5,0,After Work Hours,19
Week 2: Git discard changes using Visual Studio Code,https://www.youtube.com/watch?v=mz-ywBzW5ow,EEHolmes-DataScience,https://www.youtube.com/channel/UC98XLupJ9_6BrTan-pTXEfA,2023-05-10 11:49:29+04:00,2023,5,0,Working Hours,11
"Bayes theorem, the geometry of changing beliefs",https://www.youtube.com/watch?v=HZGCoVF3YvM,3Blue1Brown,https://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,2023-05-10 11:15:47+04:00,2023,5,0,Working Hours,11
Machine Learning for Everybody – Full Course,https://www.youtube.com/watch?v=i_LwzRVP7bg,freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,2023-05-10 11:02:10+04:00,2023,5,0,Working Hours,11
How to ACE Your Next Behavioral Interview (don't use STAR)!,https://www.youtube.com/watch?v=gZ2354BH0a0,Jeff Su,https://www.youtube.com/channel/UCwAnu01qlnVg1Ai2AbtTMaA,2023-05-10 07:42:39+04:00,2023,5,0,Early Morning,7
Ground and Rise Strong - 20 Minute Vinyasa Flow,https://www.youtube.com/watch?v=ALlJdDPuyck,Breathe and Flow,https://www.youtube.com/channel/UCbfPq-uRqonJQli41muSLeQ,2023-05-10 07:21:09+04:00,2023,5,0,Early Morning,7
"How to Write Your Resume with ChatGPT | AI Can Help with Your Resume, Cover Letter & More!",https://www.youtube.com/watch?v=wZ125l7AjxU,Teal,https://www.youtube.com/channel/UCZlIaL4DOEFig1b2jgx25zA,2023-05-09 20:13:59+04:00,2023,5,0,After Work Hours,20
SQL Tutorial for Beginners (and Technical Interview Questions Solved),https://www.youtube.com/watch?v=-fW2X7fh7Yg,freeCodeCamp.org,https://www.youtube.com/channel/UC8butISFwT-Wl7EV0hUK0BQ,2023-05-09 17:20:17+04:00,2023,5,0,After Work Hours,17
Land a Job using ChatGPT: The Definitive Guide!,https://www.youtube.com/watch?v=pmnY5V16GSE,Jeff Su,https://www.youtube.com/channel/UCwAnu01qlnVg1Ai2AbtTMaA,2023-05-09 08:22:28+04:00,2023,5,0,Early Morning,8
Write an Amazing Cover Letter: 3 Golden Rules (Template included),https://www.youtube.com/watch?v=NUhDP30IRKk,Jeff Su,https://www.youtube.com/channel/UCwAnu01qlnVg1Ai2AbtTMaA,2023-05-09 08:14:39+04:00,2023,5,0,Early Morning,8
Write an Incredible Resume: 5 Golden Rules!,https://www.youtube.com/watch?v=Tt08KmFfIYQ,Jeff Su,https://www.youtube.com/channel/UCwAnu01qlnVg1Ai2AbtTMaA,2023-05-09 08:05:47+04:00,2023,5,0,Early Morning,8
Do you think you're a total worker?,https://www.youtube.com/watch?v=StKU4spwsss,Ali Abdaal,https://www.youtube.com/channel/UCoOae5nYA7VqaXzerajD0lg,2023-05-09 08:02:58+04:00,2023,5,0,Early Morning,8
I wish every Job Seeker would watch this,https://www.youtube.com/watch?v=ZXmbb5fPfgk,Jeff Su,https://www.youtube.com/channel/UCwAnu01qlnVg1Ai2AbtTMaA,2023-05-09 07:56:24+04:00,2023,5,0,Early Morning,7
Tell me a time You Handled a Difficult Situation (Interview Question),https://www.youtube.com/watch?v=-7OIk2ZXBCg,Jeff Su,https://www.youtube.com/channel/UCwAnu01qlnVg1Ai2AbtTMaA,2023-05-09 07:48:58+04:00,2023,5,0,Early Morning,7
YogaStrong Challenge Day 2 - Yoga for LEGS and GLUTES with Ashton August,https://www.youtube.com/watch?v=RcrVDjiLSh8,YouAligned,https://www.youtube.com/channel/UCyEEqjhf3NeujoC73yUZbKw,2023-05-09 05:53:26+04:00,2023,5,0,Early Morning,5
The 1 Tip to Improve Your Communication Skills at Work,https://www.youtube.com/watch?v=8bZGi3yz4qg,Jeff Su,https://www.youtube.com/channel/UCwAnu01qlnVg1Ai2AbtTMaA,2023-05-08 16:24:24+04:00,2023,5,0,Working Hours,16
Where Do You See Yourself in 5 Years - How to Answer,https://www.youtube.com/watch?v=ClmHniKlt6k,Jeff Su,https://www.youtube.com/channel/UCwAnu01qlnVg1Ai2AbtTMaA,2023-05-08 13:29:13+04:00,2023,5,0,Working Hours,13
What is Your Biggest Weakness? (Ace this Interview Question!),https://www.youtube.com/watch?v=6ehslpTtlEo,Jeff Su,https://www.youtube.com/channel/UCwAnu01qlnVg1Ai2AbtTMaA,2023-05-08 13:28:33+04:00,2023,5,0,Working Hours,13
Why Did You Leave Your Last Job? (explain a layoff),https://www.youtube.com/watch?v=tPlJjtQkpM0,Jeff Su,https://www.youtube.com/channel/UCwAnu01qlnVg1Ai2AbtTMaA,2023-05-08 13:27:26+04:00,2023,5,0,Working Hours,13
Tell Me About a Time You Failed (Sample Answer included),https://www.youtube.com/watch?v=yidXECtZCOg,Jeff Su,https://www.youtube.com/channel/UCwAnu01qlnVg1Ai2AbtTMaA,2023-05-08 13:22:55+04:00,2023,5,0,Working Hours,13
I wish every Job Seeker would watch this,https://www.youtube.com/watch?v=ZXmbb5fPfgk,Jeff Su,https://www.youtube.com/channel/UCwAnu01qlnVg1Ai2AbtTMaA,2023-05-08 12:49:43+04:00,2023,5,0,Working Hours,12
Why Do You Want to Work Here? (Answer this Tricky Question),https://www.youtube.com/watch?v=x-4MewJpaso,Jeff Su,https://www.youtube.com/channel/UCwAnu01qlnVg1Ai2AbtTMaA,2023-05-08 12:40:53+04:00,2023,5,0,Working Hours,12
Why Are You a Good Fit for this Role - How to Answer,https://www.youtube.com/watch?v=-HfeTdf2gSw,Jeff Su,https://www.youtube.com/channel/UCwAnu01qlnVg1Ai2AbtTMaA,2023-05-08 06:35:57+04:00,2023,5,0,Early Morning,6
